x0,x1,x2,x3,x4
0.519691,0.384667,0.382026,0.764661,0.218558
0.371752,0.146637,0.756370,1.545378,0.000000
0.497078,0.264731,0.582415,0.764018,0.000000
0.518201,0.321942,0.527558,0.786655,0.000000
